,pclass,survived,age,Siblings and Spouses Aboard,Parents and Children Aboard,fare,embarked,cabin_letter,is_male,Total Family Aboard
0,1.0,1.0,29.0,0.0,0.0,211.3375,Southampton,B,0,0.0
1,1.0,1.0,0.9167,1.0,2.0,151.55,Southampton,C,1,3.0
2,1.0,0.0,2.0,1.0,2.0,151.55,Southampton,C,0,3.0
3,1.0,0.0,30.0,1.0,2.0,151.55,Southampton,C,1,3.0
4,1.0,0.0,25.0,1.0,2.0,151.55,Southampton,C,0,3.0
5,1.0,1.0,48.0,0.0,0.0,26.55,Southampton,E,1,0.0
6,1.0,1.0,63.0,1.0,0.0,77.9583,Southampton,D,0,1.0
7,1.0,0.0,39.0,0.0,0.0,0.0,Southampton,A,1,0.0
8,1.0,1.0,53.0,2.0,0.0,51.4792,Southampton,C,0,2.0
9,1.0,0.0,71.0,0.0,0.0,49.5042,Cherbourg,,1,0.0
10,1.0,0.0,47.0,1.0,0.0,227.525,Cherbourg,C,1,1.0
11,1.0,1.0,18.0,1.0,0.0,227.525,Cherbourg,C,0,1.0
12,1.0,1.0,24.0,0.0,0.0,69.3,Cherbourg,B,0,0.0
13,1.0,1.0,26.0,0.0,0.0,78.85,Southampton,,0,0.0
14,1.0,1.0,80.0,0.0,0.0,30.0,Southampton,A,1,0.0
15,1.0,0.0,,0.0,0.0,25.925,Southampton,,1,0.0
16,1.0,0.0,24.0,0.0,1.0,247.5208,Cherbourg,B,1,1.0
17,1.0,1.0,50.0,0.0,1.0,247.5208,Cherbourg,B,0,1.0
18,1.0,1.0,32.0,0.0,0.0,76.2917,Cherbourg,D,0,0.0
19,1.0,0.0,36.0,0.0,0.0,75.2417,Cherbourg,C,1,0.0
20,1.0,1.0,37.0,1.0,1.0,52.5542,Southampton,D,1,2.0
21,1.0,1.0,47.0,1.0,1.0,52.5542,Southampton,D,0,2.0
22,1.0,1.0,26.0,0.0,0.0,30.0,Cherbourg,C,1,0.0
23,1.0,1.0,42.0,0.0,0.0,227.525,Cherbourg,,0,0.0
24,1.0,1.0,29.0,0.0,0.0,221.7792,Southampton,C,0,0.0
25,1.0,0.0,25.0,0.0,0.0,26.0,Cherbourg,,1,0.0
26,1.0,1.0,25.0,1.0,0.0,91.0792,Cherbourg,B,1,1.0
27,1.0,1.0,19.0,1.0,0.0,91.0792,Cherbourg,B,0,1.0
28,1.0,1.0,35.0,0.0,0.0,135.6333,Southampton,C,0,0.0
29,1.0,1.0,28.0,0.0,0.0,26.55,Southampton,C,1,0.0
30,1.0,0.0,45.0,0.0,0.0,35.5,Southampton,T,1,0.0
31,1.0,1.0,40.0,0.0,0.0,31.0,Cherbourg,A,1,0.0
32,1.0,1.0,30.0,0.0,0.0,164.8667,Southampton,C,0,0.0
33,1.0,1.0,58.0,0.0,0.0,26.55,Southampton,C,0,0.0
34,1.0,0.0,42.0,0.0,0.0,26.55,Southampton,D,1,0.0
35,1.0,1.0,45.0,0.0,0.0,262.375,Cherbourg,,0,0.0
36,1.0,1.0,22.0,0.0,1.0,55.0,Southampton,E,0,1.0
37,1.0,1.0,,0.0,0.0,26.55,Southampton,,1,0.0
38,1.0,0.0,41.0,0.0,0.0,30.5,Southampton,A,1,0.0
39,1.0,0.0,48.0,0.0,0.0,50.4958,Cherbourg,B,1,0.0
40,1.0,0.0,,0.0,0.0,39.6,Cherbourg,,1,0.0
41,1.0,1.0,44.0,0.0,0.0,27.7208,Cherbourg,B,0,0.0
42,1.0,1.0,59.0,2.0,0.0,51.4792,Southampton,C,0,2.0
43,1.0,1.0,60.0,0.0,0.0,76.2917,Cherbourg,D,0,0.0
44,1.0,1.0,41.0,0.0,0.0,134.5,Cherbourg,E,0,0.0
45,1.0,0.0,45.0,0.0,0.0,26.55,Southampton,B,1,0.0
46,1.0,0.0,,0.0,0.0,31.0,Southampton,,1,0.0
